label,label_reason,result_r,signal_id,timestamp,symbol,direction,market_regime,session,entry_context,trade_location,setup_type,score,trend,trend_higher_timeframe,timeframe_alignment,rsi,body_ratio,volume_ratio,atr,distance_to_liquidity_atr,liquidity_sweep,break_of_structure,has_against_htf,has_low_volume,has_dirty_sideways_market,has_market_structure_range_penalty,has_timeframe_alignment_penalty,has_secondary_confluence_bonus,warnings_count,penalties_count,meta_decision_score,trade_quality_score,edge_confirmation_score
0,recorded_status_sl,-1.0,live_102ed603d427,2026-05-04T15:39:56.744863+00:00,ETHUSDT,long,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,paper_97ee20e661cc,2026-05-04T15:39:56.748001+00:00,ETHUSDT,long,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:39:57.542352+00:00,SOLUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:39:58.437836+00:00,XRPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:39:59.189373+00:00,BNBUSDT,long,RANGING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:40:01.864421+00:00,DOGEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:40:03.910275+00:00,AVAXUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T16:10:59.062089+00:00,ETHUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T16:11:00.278933+00:00,SOLUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T16:11:01.011143+00:00,XRPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T16:11:03.181585+00:00,DOGEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T20:47:04.438084+00:00,ETHUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T20:47:07.606183+00:00,BNBUSDT,long,TRENDING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T20:47:08.440751+00:00,DOGEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:10.354246+00:00,BTCUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:11.682534+00:00,ETHUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:12.420009+00:00,SOLUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:13.137048+00:00,XRPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:14.836404+00:00,DOGEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:02:15.674618+00:00,AVAXUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:16.843683+00:00,BTCUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:17.740737+00:00,ETHUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:18.953464+00:00,SOLUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:19.735213+00:00,XRPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:21.300078+00:00,DOGEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:22.113686+00:00,AVAXUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:23.329128+00:00,ADAUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:23.330248+00:00,ADAUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:24.139813+00:00,LINKUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:24.140699+00:00,LINKUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:24.875177+00:00,DOTUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:24.876303+00:00,DOTUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:28.684373+00:00,TRXUSDT,long,RANGING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:28.685485+00:00,TRXUSDT,long,RANGING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:29.881633+00:00,UNIUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:29.882782+00:00,UNIUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:33.361085+00:00,FILUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:33.362273+00:00,FILUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:35.146322+00:00,ARBUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:35.147501+00:00,ARBUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:36.035236+00:00,OPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:36.036398+00:00,OPUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:37.065158+00:00,AAVEUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:37.066504+00:00,AAVEUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:37.965134+00:00,NEARUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:37.966549+00:00,NEARUSDT,short,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T21:05:41.067029+00:00,SUIUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
