group_type,group,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,tp_hit_count,sl_hit_count,unknown_count,confidence_level,insufficient_data
symbol,ADAUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,NEARUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,PEPEUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,BCHUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,ARBUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,AAVEUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,SEIUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,RUNEUSDT,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
symbol,ALGOUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,LINKUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,FILUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,OPUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,WIFUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,FETUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,RENDERUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,ARUSDT,3,0,0,0,0.0,0.0,0,0,0,3,LOW,True
symbol,GALAUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,HBARUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,ENAUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,JUPUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
symbol,AVAXUSDT,14,2,1,1,50.0,0.2534,0.5068,1,1,12,LOW,True
symbol,DOGEUSDT,23,2,1,1,50.0,0.5,1.0,1,1,21,LOW,True
symbol,BTCUSDT,88,3,1,2,33.33,0.7517,2.2552,1,2,85,LOW,True
symbol,DOTUSDT,4,1,1,0,100.0,1.5,1.5,1,0,3,LOW,True
symbol,INJUSDT,2,1,1,0,100.0,2.951,2.951,1,0,1,LOW,True
trade_location,premium_zone,8,7,0,7,0.0,-1.0,-7.0,0,7,1,LOW,True
trade_location,discount_zone,7,1,0,1,0.0,-1.0,-1.0,0,1,6,LOW,True
trade_location,near_support,20,11,3,8,27.27,-0.0671,-0.738,3,8,9,MEDIUM,False
trade_location,UNKNOWN,240,0,0,0,0.0,0.0,0,0,0,240,LOW,True
trade_location,near_resistance,9,6,2,4,33.33,0.0752,0.451,2,4,3,LOW,True
trade_location,mid_range,12,7,3,4,42.86,0.1653,1.1568,3,4,5,LOW,True
trade_location+entry_context,premium_zone|CHOPPY_RANGE,3,2,0,2,0.0,-1.0,-2.0,0,2,1,LOW,True
trade_location+entry_context,premium_zone|PULLBACK,2,2,0,2,0.0,-1.0,-2.0,0,2,0,LOW,True
trade_location+entry_context,premium_zone|BREAKOUT,2,2,0,2,0.0,-1.0,-2.0,0,2,0,LOW,True
trade_location+entry_context,near_support|CHOPPY_RANGE,2,1,0,1,0.0,-1.0,-1.0,0,1,1,LOW,True
trade_location+entry_context,discount_zone|BREAKOUT,7,1,0,1,0.0,-1.0,-1.0,0,1,6,LOW,True
trade_location+entry_context,near_support|EXHAUSTION,1,1,0,1,0.0,-1.0,-1.0,0,1,0,LOW,True
trade_location+entry_context,mid_range|PULLBACK,1,1,0,1,0.0,-1.0,-1.0,0,1,0,LOW,True
trade_location+entry_context,premium_zone|EXHAUSTION,1,1,0,1,0.0,-1.0,-1.0,0,1,0,LOW,True
trade_location+entry_context,mid_range|CHOPPY_RANGE,2,1,0,1,0.0,-1.0,-1.0,0,1,1,LOW,True
trade_location+entry_context,near_resistance|CHOPPY_RANGE,1,1,0,1,0.0,-1.0,-1.0,0,1,0,LOW,True
trade_location+entry_context,near_resistance|BREAKOUT,6,3,1,2,33.33,-0.1667,-0.5,1,2,3,LOW,True
