generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,symbol,ATOMUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,symbol,TRXUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,penalty,timeframe_alignment_penalty:10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,rejection_reason,timeframe_alignment_penalty,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,session,NEW_YORK,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,trade_location,near_support,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,trade_location,premium_zone,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,volume_bucket,volume_low,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,opened_hour_utc,10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,opened_hour_utc,21,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,opened_hour_utc,15,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,market_regime=HIGH_VOLATILITY,symbol,APEUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
