dimension,value,classification,labeled_rows,winrate,avg_result_r,total_result_r,confidence_level,recommendation,next_action
market_regime+entry_context,LOW_VOLATILITY|BREAKOUT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,RANGING|UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,HIGH_VOLATILITY|UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,TRENDING|UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,LOW_VOLATILITY|UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,LOW_VOLATILITY|PULLBACK,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,HIGH_VOLATILITY|EXHAUSTION,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,HIGH_VOLATILITY|CHOPPY_RANGE,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,HIGH_VOLATILITY|IMPULSE,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
session,ASIA,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
session,UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type,UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type,NO_SIGNAL,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,UNKNOWN|BREAKOUT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,UNKNOWN|PULLBACK,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,UNKNOWN|UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,NO_SIGNAL|EXHAUSTION,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,NO_SIGNAL|CHOPPY_RANGE,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
setup_type+entry_context,NO_SIGNAL|IMPULSE,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,FTMUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,MANAUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,TAOUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,ADAUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,NEARUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,PEPEUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,BCHUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,ARBUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,AAVEUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,SEIUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,RUNEUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,ALGOUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,LINKUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,FILUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,OPUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,WIFUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,FETUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,RENDERUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,ARUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,GALAUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,HBARUSDT,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
