signal_id,timestamp,symbol,direction,entry,stop_loss,take_profit,time_barrier_bars,label,label_reason,result_r,max_r,min_r,bars_to_label,market_regime,session,entry_context,trade_location,setup_type,warnings,penalties
,2026-05-04T21:02:12.420009+00:00,SOLUSDT,long,84.09,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:02:13.137048+00:00,XRPUSDT,long,1.3931,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:02:14.836404+00:00,DOGEUSDT,long,0.11024,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:02:15.674618+00:00,AVAXUSDT,long,9.15,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:16.843683+00:00,BTCUSDT,long,79936.7,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:17.740737+00:00,ETHUSDT,long,2350.15,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:18.953464+00:00,SOLUSDT,long,84.09,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:19.735213+00:00,XRPUSDT,long,1.3931,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:21.300078+00:00,DOGEUSDT,long,0.11024,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:22.113686+00:00,AVAXUSDT,long,9.15,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:23.329128+00:00,ADAUSDT,long,0.2498,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:23.330248+00:00,ADAUSDT,long,0.2498,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:24.139813+00:00,LINKUSDT,short,9.34,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:24.140699+00:00,LINKUSDT,short,9.34,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:24.875177+00:00,DOTUSDT,long,1.226,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:24.876303+00:00,DOTUSDT,long,1.226,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:28.684373+00:00,TRXUSDT,long,0.341,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,,,,,
,2026-05-04T21:05:28.685485+00:00,TRXUSDT,long,0.341,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,,,,,
,2026-05-04T21:05:29.881633+00:00,UNIUSDT,long,3.265,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:29.882782+00:00,UNIUSDT,long,3.265,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:33.361085+00:00,FILUSDT,long,0.934,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:33.362273+00:00,FILUSDT,long,0.934,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:35.146322+00:00,ARBUSDT,short,0.1156,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:05:35.147501+00:00,ARBUSDT,short,0.1156,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
